claim_id,product_id,product_name,product_category,brand,model_number,serial_number_entered,serial_number_on_receipt,serial_number_on_warranty_card,purchase_date,purchase_price,retailer,warranty_start,warranty_end,warranty_provider,warranty_type,fault_date,claim_submission_date,fault_type,fault_description,damage_type,product_age_months,remaining_warranty_days,repair_history_count,previous_repair_authorized,receipt_uploaded,warranty_card_uploaded,product_image_uploaded,fault_evidence_uploaded,repair_report_uploaded,missing_doc_count,serial_mismatch_flag,date_contradiction_flag,excluded_damage,duplicate_claim_flag,class_label
CLM-00013,PRD-22178,Galaxy Ultra Smartphone,Electronics,Dell,DEL-ELE-873,SNDE901561,SNDE901561,SNDE901561,2024-12-28,1035.24,Amazon Electronics,2024-12-28,2026-12-28,Dell Care Protection,Standard,2025-12-10,2025-12-18,Component Failure,Sensor module stopped transmitting readings to the main board.,Component Failure,11,383,1,False,True,True,True,True,False,1,False,False,False,False,Manual Review Required
CLM-00014,PRD-52567,Mirrorless Camera Body,Electronics,Apple,APP-ELE-472,SNAP511122,SNAP511122,SNAP511122,2024-12-05,1338.84,B&H Photo,2024-12-05,2027-12-05,AssureX Extended Guard,Extended,2025-06-17,2025-06-19,Component Failure,Cooling fan bearing seized up leading to emergency thermal shutdown.,Manufacturing,6,901,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
CLM-00015,PRD-63174,Smart Dishwasher 24-inch,Appliances,LG,LG-APP-718,SNLG702593,SNLG702593,SNLG702593,2023-06-16,675.72,Home Depot,2023-06-16,2026-06-15,LG Care Protection,Standard,2023-12-08,2023-12-13,Electrical Wiring Defect,Unspecified system degradation observed during normal operating routine.,Manufacturing,5,920,3,True,True,True,True,True,True,0,False,False,False,False,Manual Review Required
CLM-00016,PRD-60307,Front-Load Washing Machine,Appliances,Samsung,SAM-APP-735,SNSA355528,SNSA355528,SNSA355528,2023-04-13,908.8,Costco,2023-04-13,2026-04-12,Samsung Care Protection,Standard,2024-04-24,2024-05-08,Control Board Failure,Unspecified system degradation observed during normal operating routine.,Manufacturing,12,718,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
CLM-00017,PRD-73783,ProBook Laptop 15-inch,Electronics,Dell,DEL-ELE-778,SNDE802131,SNDE802131,SNDE802131,2023-06-27,748.98,Direct Manufacturer Store,2023-06-27,2026-06-26,AssureX Extended Guard,Extended,2024-11-05,2024-11-14,Manufacturing Defect,Internal solder joint loosened causing intermittent power disconnects.,Manufacturing,16,598,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00018,PRD-52914,Electric Range Oven,Appliances,Whirlpool,WHI-APP-211,SNWH818807,SNWH818807,SNWH818807,2025-02-06,1293.19,Costco,2025-02-06,2028-02-06,Whirlpool Care Protection,Standard,2028-04-21,2028-04-27,Electrical Wiring Defect,Unspecified system degradation observed during normal operating routine.,Manufacturing,38,-75,0,True,True,True,True,True,False,0,False,False,False,False,Likely Invalid
CLM-00019,PRD-85750,High Output Alternator,Automotive,Continental Auto,CON-AUT-563,SNCO657062,SNCO657062,SNCO657062,2024-11-25,328.64,RockAuto,2024-11-25,2025-11-25,Continental Auto Care Protection,Standard,2025-06-05,2025-06-10,Cosmetic Wear,Unspecified system degradation observed during normal operating routine.,Cosmetic Wear,6,173,0,True,True,True,True,True,False,0,False,False,True,False,Likely Invalid
CLM-00020,PRD-62978,Tablet 11-inch Display,Electronics,Lenovo,LEN-ELE-191,SNLE711033,SNLE711033,SNLE711033,2023-07-18,554.61,Direct Manufacturer Store,2023-07-18,2025-07-17,Lenovo Care Protection,Standard,2025-11-08,2025-11-27,Manufacturing Defect,Device shut down unexpectedly and fails to power back on under normal conditions.,Manufacturing,27,-114,0,True,True,True,True,True,False,0,False,False,False,False,Likely Invalid
CLM-00021,PRD-66585,Heavy-Duty Starter Motor,Automotive,K&N,K&N-AUT-212,SNK&395917,SNK&395917,SNK&395917,2024-09-04,311.03,Advance Auto Parts,2024-09-04,2025-09-04,K&N Care Protection,Standard,2025-04-28,2025-05-05,Electrical Component Failure,Unspecified system degradation observed during normal operating routine.,Electrical,7,129,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00022,PRD-30220,Electric Range Oven,Appliances,Bosch,BOS-APP-493,SNBO984293,SNBO984293,SNBO984293,2024-03-24,1341.77,Costco,2024-03-24,2027-03-24,Bosch Care Protection,Standard,2024-05-16,2024-05-18,Commercial Use of Domestic Product,Machine installed in commercial 24-hour laundromat facility.,Commercial Use of Domestic Product,1,1042,0,True,True,True,True,True,False,0,False,False,True,False,Likely Invalid
CLM-00023,PRD-69772,Gaming Desktop Rig,Electronics,Asus,ASU-ELE-239,SNAS188776,SNAS188776,SNAS188776,2024-10-23,1674.04,Target,2024-10-23,2026-10-23,Asus Care Protection,Standard,2025-09-29,2025-10-08,Component Failure,Cooling fan bearing seized up leading to emergency thermal shutdown.,Manufacturing,11,389,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
CLM-00024,PRD-75762,Gaming Desktop Rig,Electronics,Apple,APP-ELE-719,SNAP107790,SNAP107790,SNAP107790,2024-02-23,2000.17,Amazon Electronics,2024-02-23,2027-02-22,AssureX Extended Guard,Extended,2026-02-15,2026-02-25,Software Malfunction,Main OS freezes on start screen; hardware diagnostic passes.,Manufacturing,23,372,0,True,True,False,True,True,False,1,False,False,False,False,Likely Valid
CLM-00025,PRD-46624,Performance Shock Absorbers,Automotive,Bosch Auto,BOS-AUT-593,SNBO824038,SNBO824038,SNBO824038,2024-12-23,335.17,RockAuto,2024-12-23,2025-12-23,Bosch Auto Care Protection,Standard,2026-03-15,2026-04-01,Manufacturing Defect,Factory assembly defect leading to unprovoked system failure.,Manufacturing,14,-82,0,True,True,True,True,True,False,0,False,False,False,False,Likely Invalid
CLM-00026,PRD-69511,OLED 4K Smart TV,Electronics,LG,LG-ELE-451,SNLG661023,SNLG661023,SNLG661023,2025-03-07,1393.69,Target,2025-03-07,2028-03-06,AssureX Extended Guard,Extended,2027-03-28,2027-04-09,Software Malfunction,Main OS freezes on start screen; hardware diagnostic passes.,Manufacturing,24,344,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00027,PRD-85085,Mirrorless Camera Body,Electronics,LG,LG-ELE-162,SNLG759868,SNLG759868,SNLG759868,2023-03-22,1506.93,Amazon Electronics,2023-03-22,2025-03-21,LG Care Protection,Standard,2024-08-26,2024-09-07,Display Defect,Vertical colored line artifacts appeared across OLED panel without impact.,Manufacturing,17,207,1,True,True,False,True,True,True,1,False,False,False,False,Likely Valid
CLM-00028,PRD-43679,Mirrorless Camera Body,Electronics,Samsung,SAM-ELE-358,SNSA238976,SNSA238976,SNSA238976,2023-01-23,1589.66,B&H Photo,2023-01-23,2025-01-22,Samsung Care Protection,Standard,2024-03-16,2024-03-19,Display Defect,Backlight flickering continuously on left half of screen.,Manufacturing,13,312,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
CLM-00029,PRD-14337,ABS Wheel Speed Sensor,Automotive,Brembo,BRE-AUT-341,SNBR608473,SNBR608473,SNBR608473,2024-06-16,87.62,RockAuto,2024-06-16,2025-06-16,Brembo Care Protection,Standard,2024-09-15,2024-09-25,Premature Wear,Bushing cracked prematurely during regular non-commercial transit.,Manufacturing,2,274,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
CLM-00030,PRD-17120,Heavy-Duty Clothes Dryer,Appliances,Samsung,SAM-APP-752,SNSA275409,SNSA275409,SNSA275409,2024-02-15,747.47,Sears Appliance Outlet,2024-02-15,2027-02-14,Samsung Care Protection,Standard,2027-02-16,2027-02-20,Thermostat Malfunction,"Thermostat stuck open, temperature never reaches target threshold.",Manufacturing,36,-2,0,True,True,True,True,True,False,0,False,False,False,False,Manual Review Required
CLM-00031,PRD-72205,Performance Shock Absorbers,Automotive,Continental Auto,CON-AUT-339,SNCO498249,SNCO498249,SNCO498249,2024-02-12,426.89,NAPA Auto Parts,2024-02-12,2025-02-11,Continental Auto Care Protection,Standard,2024-08-19,2024-09-02,Electrical Component Failure,Unspecified system degradation observed during normal operating routine.,Electrical,6,176,1,True,True,False,True,True,True,1,False,False,False,False,Likely Valid
CLM-00032,PRD-66595,Heavy-Duty Clothes Dryer,Appliances,GE Appliances,GE -APP-142,SNGE202093,SNGE202093,SNGE202093,2024-02-28,973.67,Sears Appliance Outlet,2024-02-28,2027-02-27,GE Appliances Care Protection,Standard,2025-09-26,2025-10-09,Manufacturing Defect,Internal solder joint loosened causing intermittent power disconnects.,Manufacturing,18,519,0,True,False,True,True,True,False,1,False,False,False,False,Likely Invalid
CLM-00033,PRD-35549,Convection Microwave Oven,Appliances,Samsung,SAM-APP-891,SNSA808094,SNSA808094,SNSA808094,2025-03-18,367.88,Direct Factory Outlet,2025-03-18,2028-03-17,Samsung Care Protection,Standard,2027-01-18,2027-01-27,Accidental Damage,Dropped on concrete driveway resulting in shattered enclosure and severed cable.,Accidental Damage,22,424,0,True,True,True,True,True,False,0,False,False,True,False,Likely Invalid
CLM-00034,PRD-56073,Electronic Fuel Injector Kit,Automotive,Bosch Auto,BOS-AUT-200,SNBO650779,SNBO650779,SNBO650779,2023-12-07,374.46,NAPA Auto Parts,2023-12-07,2024-12-06,Bosch Auto Care Protection,Standard,2024-04-13,2024-04-14,Manufacturing Defect,Factory assembly defect leading to unprovoked system failure.,Manufacturing,4,237,0,True,False,True,True,True,False,1,False,False,False,False,Likely Invalid
CLM-00035,PRD-27027,Galaxy Ultra Smartphone,Electronics,Dell,DEL-ELE-825,SNDE225805,SNDE225805,SNDE225805,2024-08-07,883.67,Direct Manufacturer Store,2024-08-07,2026-08-07,Dell Care Protection,Standard,2025-01-19,2025-01-31,Electrical Failure,Capacitor blown on the primary controller board without power surge.,Electrical,5,565,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
CLM-00036,PRD-43729,Convection Microwave Oven,Appliances,KitchenAid,KIT-APP-383,SNKI906731,SNKI906731,SNKI906731,2023-09-09,326.65,Sears Appliance Outlet,2023-09-09,2026-09-08,KitchenAid Care Protection,Standard,2024-02-13,2024-02-20,Thermostat Malfunction,"Thermostat stuck open, temperature never reaches target threshold.",Manufacturing,5,938,0,True,False,True,True,True,False,1,False,False,False,False,Likely Invalid
CLM-00037,PRD-89993,Heavy-Duty Starter Motor,Automotive,Brembo,BRE-AUT-282,SNBR561976,SNBR561976,SNBR561976,2024-09-01,228.22,Advance Auto Parts,2024-09-01,2025-09-01,Brembo Care Protection,Standard,2025-04-08,2025-04-16,Manufacturing Defect,Device shut down unexpectedly and fails to power back on under normal conditions.,Manufacturing,7,146,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
CLM-00038,PRD-19229,Convection Microwave Oven,Appliances,Whirlpool,WHI-APP-832,SNWH371577,SNWH371577,SNWH371577,2024-01-25,285.22,Home Depot,2024-01-25,2028-01-25,AssureX Extended Guard,Extended,2024-09-19,2024-10-04,Thermostat Malfunction,Temperature reading fluctuating wildly causing erratic operation.,Manufacturing,7,1223,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00039,PRD-10485,High Output Alternator,Automotive,Brembo,BRE-AUT-816,SNBR445852,SNBR445852,SNBR445852,2025-03-11,412.03,RockAuto,2025-03-11,2027-03-11,AssureX Extended Guard,Extended,2026-06-30,2026-07-07,Manufacturing Defect,Device shut down unexpectedly and fails to power back on under normal conditions.,Unauthorized Modification,15,254,4,False,True,True,True,True,False,1,False,False,True,True,Likely Invalid
CLM-00040,PRD-53704,Convection Microwave Oven,Appliances,KitchenAid,KIT-APP-224,SNKI694798,SNKI694798,SNKI694798,2024-04-15,340.52,Sears Appliance Outlet,2024-04-15,2028-04-15,AssureX Extended Guard,Extended,2025-01-15,2025-01-26,Control Board Failure,Unspecified system degradation observed during normal operating routine.,Manufacturing,9,1186,0,True,True,False,True,True,False,1,False,False,False,False,Likely Valid
CLM-00041,PRD-60353,Smart Dishwasher 24-inch,Appliances,Maytag,MAY-APP-763,SNMA312987,SNMA312987,SNMA312987,2023-10-24,690.49,Home Depot,2023-10-24,2026-10-23,Maytag Care Protection,Standard,2025-05-09,2025-05-24,Manufacturing Defect,Internal solder joint loosened causing intermittent power disconnects.,Manufacturing,18,532,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00042,PRD-41258,Active Noise Cancelling Headphones,Electronics,Asus,ASU-ELE-243,SNAS137432,SNAS137432,SNAS137432,2025-01-29,259.63,Direct Manufacturer Store,2025-01-29,2028-01-29,AssureX Extended Guard,Extended,2028-02-05,2028-02-10,Software Malfunction,Main OS freezes on start screen; hardware diagnostic passes.,Manufacturing,36,-7,0,True,True,True,True,True,False,0,False,False,False,False,Manual Review Required
CLM-00043,PRD-63150,OLED 4K Smart TV,Electronics,Asus,ASU-ELE-137,SNAS455766,SNAS455766,SNAS455766,2023-07-03,1046.91,BestBuy,2023-07-03,2025-07-02,Asus Care Protection,Standard,2024-12-06,2024-12-17,Display Defect,Vertical colored line artifacts appeared across OLED panel without impact.,Manufacturing,17,208,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00044,PRD-16003,ProBook Laptop 15-inch,Electronics,Sony,SON-ELE-600,SNSO785592,SNSO785592,SNSO785592,2024-01-12,728.98,Direct Manufacturer Store,2024-01-12,2026-01-11,Sony Care Protection,Standard,2024-05-07,2024-05-10,Manufacturing Defect,Internal solder joint loosened causing intermittent power disconnects.,Manufacturing,3,614,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00045,PRD-38910,Galaxy Ultra Smartphone,Electronics,Samsung,SAM-ELE-216,SNSA621292,SNSA621292,SNSA621292,2023-04-09,1086.9,Direct Manufacturer Store,2023-04-09,2025-04-08,Samsung Care Protection,Standard,2024-04-18,2024-04-25,Software Malfunction,System firmware entered boot loop following manufacturer OTA update.,Component Failure,12,355,1,False,True,True,True,True,False,1,False,False,False,False,Manual Review Required
CLM-00046,PRD-87736,Tablet 11-inch Display,Electronics,Apple,APP-ELE-956,SNAP931627,SNAP931627,SNAP931627,2023-09-27,607.94,BestBuy,2023-09-27,2025-09-26,Apple Care Protection,Standard,2024-02-15,2024-02-17,Software Malfunction,System firmware entered boot loop following manufacturer OTA update.,Manufacturing,4,589,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
CLM-00047,PRD-92863,Smart Watch Series 7,Electronics,Apple,APP-ELE-349,SNAP710256,SNAP710256,SNAP710256,2024-08-07,345.65,BestBuy,2024-08-07,2026-08-07,Apple Care Protection,Standard,2026-12-29,2027-01-02,Manufacturing Defect,Device shut down unexpectedly and fails to power back on under normal conditions.,Manufacturing,28,-144,0,True,True,True,True,True,False,0,False,False,False,False,Likely Invalid
CLM-00048,PRD-26632,Mirrorless Camera Body,Electronics,Samsung,SAM-ELE-526,SNSA827191,SNSA827191,SNSA827191,2023-11-17,1700.8,Target,2023-11-17,2025-11-16,Samsung Care Protection,Standard,2025-01-26,2025-01-31,Display Defect,Vertical colored line artifacts appeared across OLED panel without impact.,Manufacturing,14,294,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00049,PRD-92207,Electric Range Oven,Appliances,Whirlpool,WHI-APP-284,SNWH852037,SNWH852037,SNWH852037,2024-04-12,1154.95,Home Depot,2024-04-12,2027-04-12,Whirlpool Care Protection,Standard,2024-05-21,2024-05-30,Motor Failure,Drive motor hums loudly but will not spin drum under normal load.,Unauthorized Modification,1,1056,2,False,True,True,True,True,False,1,False,False,True,False,Likely Invalid
CLM-00050,PRD-38740,Tablet 11-inch Display,Electronics,Samsung,SAM-ELE-983,SNSA898100,SNSA898100,SNSA898100,2024-12-22,809.06,Direct Manufacturer Store,2024-12-22,2026-12-22,Samsung Care Protection,Standard,2025-08-29,2025-08-30,Electrical Failure,Capacitor blown on the primary controller board without power surge.,Electrical,8,480,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00051,PRD-17081,Smart Watch Series 7,Electronics,Asus,ASU-ELE-280,SNAS267520,SNAS267588,SNAS267520,2024-07-19,446.1,BestBuy,2024-07-19,2026-07-19,Asus Care Protection,Standard,2025-11-06,2025-11-11,Software Malfunction,Main OS freezes on start screen; hardware diagnostic passes.,Manufacturing,15,255,0,True,True,True,True,True,False,0,True,False,False,False,Manual Review Required
CLM-00052,PRD-25212,ProBook Laptop 15-inch,Electronics,Sony,SON-ELE-261,SNSO923648,SNSO923648,SNSO923648,2023-04-21,732.38,Direct Manufacturer Store,2023-04-21,2025-04-20,Sony Care Protection,Standard,2024-08-11,2024-08-19,Display Defect,Vertical colored line artifacts appeared across OLED panel without impact.,Manufacturing,15,252,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
CLM-00053,PRD-41079,Active Noise Cancelling Headphones,Electronics,HP,HP-ELE-897,SNHP215482,SNHP215482,SNHP215482,2024-10-02,274.53,BestBuy,2024-10-02,2026-10-02,HP Care Protection,Standard,2025-06-14,2025-06-16,Component Failure,Cooling fan bearing seized up leading to emergency thermal shutdown.,Unauthorized Modification,8,475,4,False,True,True,True,True,False,1,False,False,True,False,Likely Invalid
CLM-00054,PRD-58953,High Output Alternator,Automotive,ACDelco,ACD-AUT-321,SNAC739037,SNAC739037,SNAC739037,2023-07-31,350.88,NAPA Auto Parts,2023-07-31,2025-07-30,AssureX Extended Guard,Extended,2024-11-19,2024-11-23,Material Failure,Unspecified system degradation observed during normal operating routine.,Manufacturing,15,253,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00055,PRD-70106,Electric Range Oven,Appliances,KitchenAid,KIT-APP-161,SNKI394234,SNKI394234,SNKI394234,2024-10-11,995.06,Costco,2024-10-11,2027-10-11,KitchenAid Care Protection,Standard,2026-03-10,2026-03-14,Compressor Failure,Compressor clicking repeatedly and unable to compress refrigerant.,Manufacturing,16,580,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00056,PRD-46591,Electric Range Oven,Appliances,Maytag,MAY-APP-600,SNMA326956,SNMA326956,SNMA326956,2023-01-23,1195.3,Costco,2023-01-23,2027-01-23,AssureX Extended Guard,Extended,2024-07-11,2024-07-15,Compressor Failure,"Cooling cycle fails to start, compressor is non-responsive.",Electrical Failure,17,926,0,True,True,True,True,False,False,1,False,False,False,False,Manual Review Required
CLM-00057,PRD-76088,OLED 4K Smart TV,Electronics,Apple,APP-ELE-527,SNAP146372,SNAP146372,SNAP146372,2023-02-22,1039.23,Target,2023-02-22,2026-02-21,AssureX Extended Guard,Extended,2025-01-29,2025-02-05,Component Failure,Cooling fan bearing seized up leading to emergency thermal shutdown.,Manufacturing,23,388,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00058,PRD-38574,Electric Range Oven,Appliances,Whirlpool,WHI-APP-871,SNWH113026,SNWH113026,SNWH113026,2023-07-26,1239.99,Costco,2023-07-26,2026-07-25,Whirlpool Care Protection,Standard,2024-11-03,2024-11-07,Control Board Failure,Unspecified system degradation observed during normal operating routine.,Manufacturing,15,629,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00059,PRD-69616,Smart Watch Series 7,Electronics,Apple,APP-ELE-978,SNAP698087,SNAP698087,SNAP698087,2024-12-21,458.42,BestBuy,2024-12-21,2026-12-21,Apple Care Protection,Standard,2026-04-04,2026-04-11,Electrical Failure,Capacitor blown on the primary controller board without power surge.,Electrical,15,261,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00060,PRD-48874,Galaxy Ultra Smartphone,Electronics,Sony,SON-ELE-494,SNSO824304,SNSO824304,SNSO824304,2024-10-23,982.18,BestBuy,2024-10-23,2026-10-23,Sony Care Protection,Standard,2025-02-12,2025-02-22,Physical Impact,Unspecified system degradation observed during normal operating routine.,Physical Impact,3,618,0,True,True,True,True,True,False,0,False,False,True,False,Likely Invalid
CLM-00061,PRD-91151,Heavy-Duty Starter Motor,Automotive,Continental Auto,CON-AUT-152,SNCO216356,SNCO216356,SNCO216356,2023-03-05,260.83,NAPA Auto Parts,2023-03-05,2024-03-04,Continental Auto Care Protection,Standard,2023-07-30,2023-08-02,Seal or Gasket Failure,Unspecified system degradation observed during normal operating routine.,Manufacturing,4,218,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00062,PRD-37498,Electric Range Oven,Appliances,Bosch,BOS-APP-216,SNBO780566,SNBO780566,SNBO780566,2023-12-17,1145.54,Direct Factory Outlet,2023-12-17,2026-12-16,Bosch Care Protection,Standard,2025-07-16,2025-07-25,Control Board Failure,Unspecified system degradation observed during normal operating routine.,Manufacturing,18,518,0,True,False,True,True,True,False,1,False,False,False,False,Likely Invalid
CLM-00063,PRD-26083,Smart Dishwasher 24-inch,Appliances,Whirlpool,WHI-APP-453,SNWH574386,SNWH574386,SNWH574386,2024-12-31,783.37,Direct Factory Outlet,2024-12-31,2027-12-31,Whirlpool Care Protection,Standard,2027-02-22,2027-03-07,Control Board Failure,Unspecified system degradation observed during normal operating routine.,Unauthorized Modification,25,312,4,False,True,True,True,True,False,1,False,False,True,False,Likely Invalid
CLM-00064,PRD-20085,French Door Refrigerator,Appliances,Samsung,SAM-APP-182,SNSA509660,SNSA509660,SNSA509660,2023-06-19,1934.69,Sears Appliance Outlet,2023-06-19,2026-06-18,Samsung Care Protection,Standard,2024-09-07,2024-09-09,Control Board Failure,Unspecified system degradation observed during normal operating routine.,Manufacturing,14,649,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00065,PRD-27305,Ceramic Brake Pad Set,Automotive,Continental Auto,CON-AUT-400,SNCO536770,SNCO536770,SNCO536770,2025-01-06,148.54,RockAuto,2025-01-06,2026-01-06,Continental Auto Care Protection,Standard,2025-06-16,2025-06-24,Manufacturing Defect,Device shut down unexpectedly and fails to power back on under normal conditions.,Manufacturing,5,204,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00066,PRD-95951,Electric Range Oven,Appliances,Bosch,BOS-APP-760,SNBO452192,SNBO452192,SNBO452192,2024-05-21,1116.14,Sears Appliance Outlet,2024-05-21,2028-05-21,AssureX Extended Guard,Extended,2026-08-25,2026-09-05,Control Board Failure,Unspecified system degradation observed during normal operating routine.,Manufacturing,27,635,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
